date,venue,race_no,race_id,start_at,close_at,source_url,schedule_fetched_at_jst
2026-08-19,大垣,5,054420260819,1787110620,1787110320,https://www.winticket.jp/keirin/ogaki/racecard/2026081744/3/5,2026-08-19T06:59:03+09:00
2026-08-19,立川,5,052820260819,1787111160,1787110860,https://www.winticket.jp/keirin/tachikawa/racecard/2026081728/3/5,2026-08-19T06:59:03+09:00
2026-08-19,高知,6,067420260819,1787111700,1787111400,https://www.winticket.jp/keirin/kochi/racecard/2026081874/2/6,2026-08-19T06:59:03+09:00
2026-08-19,大垣,6,064420260819,1787112240,1787111940,https://www.winticket.jp/keirin/ogaki/racecard/2026081744/3/6,2026-08-19T06:59:03+09:00
2026-08-19,立川,6,062820260819,1787112780,1787112480,https://www.winticket.jp/keirin/tachikawa/racecard/2026081728/3/6,2026-08-19T06:59:03+09:00
2026-08-19,高知,7,077420260819,1787113380,1787113080,https://www.winticket.jp/keirin/kochi/racecard/2026081874/2/7,2026-08-19T06:59:03+09:00
2026-08-19,大垣,7,074420260819,1787113980,1787113680,https://www.winticket.jp/keirin/ogaki/racecard/2026081744/3/7,2026-08-19T06:59:03+09:00
2026-08-19,立川,7,072820260819,1787114580,1787114280,https://www.winticket.jp/keirin/tachikawa/racecard/2026081728/3/7,2026-08-19T06:59:03+09:00
2026-08-19,高知,8,087420260819,1787115180,1787114880,https://www.winticket.jp/keirin/kochi/racecard/2026081874/2/8,2026-08-19T06:59:03+09:00
2026-08-19,大垣,8,084420260819,1787115780,1787115480,https://www.winticket.jp/keirin/ogaki/racecard/2026081744/3/8,2026-08-19T06:59:03+09:00
2026-08-19,立川,8,082820260819,1787116380,1787116080,https://www.winticket.jp/keirin/tachikawa/racecard/2026081728/3/8,2026-08-19T06:59:03+09:00
2026-08-19,高知,9,097420260819,1787116980,1787116680,https://www.winticket.jp/keirin/kochi/racecard/2026081874/2/9,2026-08-19T06:59:03+09:00
2026-08-19,大垣,9,094420260819,1787117580,1787117280,https://www.winticket.jp/keirin/ogaki/racecard/2026081744/3/9,2026-08-19T06:59:03+09:00
2026-08-19,立川,9,092820260819,1787118180,1787117880,https://www.winticket.jp/keirin/tachikawa/racecard/2026081728/3/9,2026-08-19T06:59:03+09:00
2026-08-19,高知,10,107420260819,1787118780,1787118480,https://www.winticket.jp/keirin/kochi/racecard/2026081874/2/10,2026-08-19T06:59:03+09:00
