buy,trifecta_prob_approx,race_id,trifecta_odds,is_actual,actual_trifecta,date,venue,race_no,expected_profit_100yen,stake_yen,is_hit,return_yen,profit_yen
1-3-5,0.24293423549017937,084220250325,63.6,False,3-1-5,2025-03-25,名古屋,8,1445.0617377175408,500,False,0.0,-500.0
3-5-4,0.12910371156729541,015620250409,114.4,False,5-3-4,2025-04-09,岸和田,1,1376.9464603298595,500,False,0.0,-500.0
2-3-6,0.13056004427124582,017120250516,174.8,True,2-3-6,2025-05-16,高松,1,2182.189573861377,500,True,87400.0,86900.0
3-1-5,0.12009844664179253,076320250526,158.7,False,3-5-4,2025-05-26,防府,7,1805.9623482052473,500,False,0.0,-500.0
3-1-7,0.121590848330416,028120250526,156.1,False,1-7-4,2025-05-26,小倉,2,1798.0331424377937,500,False,0.0,-500.0
3-5-1,0.22114639560092744,076320250526,85.5,False,3-5-4,2025-05-26,防府,7,1790.8016823879298,500,False,0.0,-500.0
2-3-1,0.11215853008369757,026320250624,132.1,False,7-1-2,2025-06-24,防府,2,1381.614182405645,500,False,0.0,-500.0
3-7-5,0.1276063733469966,098120250924,107.6,False,7-3-5,2025-09-24,小倉,9,1273.0445772136832,500,False,0.0,-500.0
1-4-2,0.23290712143783115,014420251210,74.7,False,2-1-6,2025-12-10,大垣,1,1639.8161971405987,500,False,0.0,-500.0
1-7-3,0.11552954530268038,045520251220,154.6,False,1-7-5,2025-12-20,和歌山,4,1686.0867703794388,500,False,0.0,-500.0
3-1-4,0.11229303771939574,036120251228,188.3,False,1-4-3,2025-12-28,玉野,3,2014.4779002562218,500,False,0.0,-500.0
2-5-1,0.3749943623812076,028120260110,63.8,False,5-1-2,2026-01-10,小倉,2,2292.464031992104,500,False,0.0,-500.0
5-2-1,0.32741942171687044,028120260110,41.5,False,5-1-2,2026-01-10,小倉,2,1258.7906001250124,500,False,0.0,-500.0
1-2-4,0.3174063037734843,113720260329,57.3,False,1-4-2,2026-03-29,伊東,11,1718.738120622065,500,False,0.0,-500.0
1-2-3,0.26346269442283193,055320260407,63.5,False,1-2-5,2026-04-07,奈良,5,1572.9881095849826,500,False,0.0,-500.0
5-7-1,0.12581344042139472,123120260626,110.5,False,5-1-7,2026-06-26,松戸,12,1290.2385166564115,500,False,0.0,-500.0
