date,venue,race_no,race_id,candidate_rank,buy,trifecta_prob_approx,trifecta_odds,stake_yen,trifecta_return_yen,trifecta_profit_yen,loss_amount_yen,expected_profit_yen
2026-06-30,佐世保,3,038520260630,7,5-3-4,0.023116139316929026,825.3,100,82530,82430,100,1808
2026-06-30,佐世保,3,038520260630,8,5-3-6,0.023116139316929026,183.4,100,18340,18240,100,324
2026-06-30,佐世保,4,048520260630,1,1-3-5,0.0208641794573767,48.3,100,4830,4730,100,1
2026-06-30,佐世保,4,048520260630,2,1-5-3,0.0208641794573767,57.0,100,5700,5600,100,19
2026-06-30,佐世保,4,048520260630,3,3-1-5,0.0208641794573767,66.5,100,6650,6550,100,39
2026-06-30,佐世保,4,048520260630,4,3-5-1,0.0208641794573767,79.8,100,7980,7880,100,66
2026-06-30,佐世保,4,048520260630,5,5-1-3,0.0208641794573767,114.0,100,11400,11300,100,138
2026-06-30,佐世保,4,048520260630,6,5-3-1,0.0208641794573767,133.0,100,13300,13200,100,177
2026-06-30,佐世保,4,048520260630,7,1-3-4,0.0091224334424028,76.0,100,7600,7500,100,-31
2026-06-30,佐世保,4,048520260630,8,1-3-6,0.0091224334424028,15.9,100,1590,1490,100,-85
2026-06-30,佐世保,5,058520260630,1,1-3-5,0.0253669150211938,119.3,100,11930,11830,100,203
2026-06-30,佐世保,5,058520260630,2,1-5-3,0.0253669150211938,111.4,100,11140,11040,100,183
2026-06-30,佐世保,5,058520260630,3,3-1-5,0.023747881267646858,119.3,100,11930,11830,100,183
2026-06-30,佐世保,5,058520260630,4,5-1-3,0.023747881267646858,119.3,100,11930,11830,100,183
2026-06-30,佐世保,5,058520260630,5,3-5-1,0.02171827298852424,79.5,100,7950,7850,100,73
2026-06-30,佐世保,5,058520260630,6,5-3-1,0.02171827298852424,208.8,100,20880,20780,100,353
2026-06-30,佐世保,5,058520260630,7,1-3-2,0.01080530728878405,49.1,100,4910,4810,100,-47
