race_id,actual_trifecta,actual_trifecta_odds,race_status,decided_at,source_url,actual_trio,actual_exacta,actual_quinella,actual_bracket_exacta,actual_bracket_quinella,actual_quinella_place,payouts_trifecta_json,payouts_trio_json,payouts_exacta_json,payouts_quinella_json,payouts_quinella_place_json,payouts_bracket_exacta_json,payouts_bracket_quinella_json,start_at,close_at
071320260716,4-2-3,196.3,3,1784210121,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071613/1/7,2-3-4,4-2,2-4,4-2,2-4,2-3|2-4|3-4,"{""4-2-3"": 19630}","{""2-3-4"": 5740}","{""4-2"": 2930}","{""2-4"": 1120}","{""2-3"": 240, ""2-4"": 300, ""3-4"": 1710}",{},{},1784209200.0,1784208900.0
072620260717,1-2-3,5.0,3,1784279708,https://www.winticket.jp/keirin/seibuen/racecard/2026071626/2/7,1-2-3,1-2,1-2,1-2,1-2,1-2|1-3|2-3,"{""1-2-3"": 500}","{""1-2-3"": 440}","{""1-2"": 230}","{""1-2"": 150}","{""1-2"": 110, ""1-3"": 330, ""2-3"": 360}",{},{},1784279160.0,1784278860.0
075320260716,1-2-5,1.8,3,1784210350,https://www.winticket.jp/keirin/nara/racecard/2026071653/1/7,1-2-5,1-2,1-2,1-2,1-2,1-2|1-5|2-5,"{""1-2-5"": 180}","{""1-2-5"": 140}","{""1-2"": 140}","{""1-2"": 120}","{""1-2"": 100, ""1-5"": 100, ""2-5"": 120}",{},{},1784209800.0,1784209500.0
076220260713,6-3-7,31.6,3,1783950464,https://www.winticket.jp/keirin/hiroshima/racecard/2026071362/1/7,3-6-7,6-3,3-6,6-3,3-6,3-6|3-7|6-7,"{""6-3-7"": 3160}","{""3-6-7"": 1690}","{""6-3"": 660}","{""3-6"": 620}","{""3-6"": 300, ""3-7"": 1380, ""6-7"": 690}",{},{},1783950000.0,1783949700.0
076220260715,4-5-7,343.8,3,1784123310,https://www.winticket.jp/keirin/hiroshima/racecard/2026071362/3/7,4-5-7,4-5,4-5,4-5,4-5,4-5|4-7|5-7,"{""4-5-7"": 34380}","{""4-5-7"": 4580}","{""4-5"": 3690}","{""4-5"": 2930}","{""4-5"": 400, ""4-7"": 300, ""5-7"": 1180}",{},{},1784122800.0,1784122500.0
077520260712,3-7-4,60.4,3,1783849306,https://www.winticket.jp/keirin/matsuyama/racecard/2026071175/2/7,3-4-7,3-7,3-7,3-6,3-6,3-4|3-7|4-7,"{""3-7-4"": 6040}","{""3-4-7"": 1160}","{""3-7"": 2260}","{""3-7"": 1110}","{""3-4"": 310, ""3-7"": 280, ""4-7"": 400}",{},{},1783848600.0,1783848300.0
081120260714,5-2-4,731.8,3,1784022419,https://www.winticket.jp/keirin/hakodate/racecard/2026071411/1/8,2-4-5,5-2,2-5,5-2,2-5,2-4|2-5|4-5,"{""5-2-4"": 73180}","{""2-4-5"": 10150}","{""5-2"": 10250}","{""2-5"": 3850}","{""2-4"": 490, ""2-5"": 1470, ""4-5"": 480}",{},{},1784021760.0,1784021460.0
081320260710,3-2-1,19.0,3,1783693385,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/1/8,1-2-3,3-2,2-3,3-2,2-3,1-2|1-3|2-3,"{""3-2-1"": 1900}","{""1-2-3"": 170}","{""3-2"": 1490}","{""2-3"": 890}","{""1-2"": 100, ""1-3"": 160, ""2-3"": 150}",{},{},1783692600.0,1783692300.0
082720260713,2-1-3,12.8,3,1783952344,https://www.winticket.jp/keirin/keiokaku/racecard/2026071327/1/8,1-2-3,2-1,1-2,2-1,1-2,1-2|1-3|2-3,"{""2-1-3"": 1280}","{""1-2-3"": 490}","{""2-1"": 280}","{""1-2"": 140}","{""1-2"": 100, ""1-3"": 290, ""2-3"": 310}",{},{},1783951800.0,1783951500.0
082720260715,5-1-2,337.8,3,1784125225,https://www.winticket.jp/keirin/keiokaku/racecard/2026071327/3/8,1-2-5,5-1,1-5,5-1,1-5,1-2|1-5|2-5,"{""5-1-2"": 33780}","{""1-2-5"": 7230}","{""5-1"": 6800}","{""1-5"": 5140}","{""1-2"": 870, ""1-5"": 950, ""2-5"": 1230}",{},{},1784124600.0,1784124300.0
084220260710,2-1-7,42.1,3,1783692626,https://www.winticket.jp/keirin/nagoya/racecard/2026071042/1/8,1-2-7,2-1,1-2,2-1,1-2,1-2|1-7|2-7,"{""2-1-7"": 4210}","{""1-2-7"": 1780}","{""2-1"": 300}","{""1-2"": 120}","{""1-2"": 100, ""1-7"": 1790, ""2-7"": 1700}",{},{},1783692000.0,1783691700.0
088520260714,3-1-4,13.5,3,1784023479,https://www.winticket.jp/keirin/sasebo/racecard/2026071385/2/8,1-3-4,3-1,1-3,3-1,1-3,1-3|1-4|3-4,"{""3-1-4"": 1350}","{""1-3-4"": 290}","{""3-1"": 800}","{""1-3"": 400}","{""1-3"": 140, ""1-4"": 270, ""3-4"": 130}",{},{},1784022480.0,1784022180.0
091320260710,2-1-6,40.0,3,1783694676,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/1/9,1-2-6,2-1,1-2,2-1,1-2,1-2|1-6|2-6,"{""2-1-6"": 4000}","{""1-2-6"": 340}","{""2-1"": 1260}","{""1-2"": 320}","{""1-2"": 180, ""1-6"": 170, ""2-6"": 360}",{},{},1783693800.0,1783693500.0
091320260712,2-7-3,181.7,3,1783867563,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/3/9,2-3-7,2-7,2-7,2-6,2-6,2-3|2-7|3-7,"{""2-7-3"": 18170}","{""2-3-7"": 1080}","{""2-7"": 4930}","{""2-7"": 2610}","{""2-3"": 260, ""2-7"": 420, ""3-7"": 230}",{},{},1783866600.0,1783866300.0
091320260718,,,1,0,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071613/3/9,,,,,,,{},{},{},{},{},{},{},1784384400.0,1784384100.0
092720260714,3-4-1,293.4,3,1784040001,https://www.winticket.jp/keirin/keiokaku/racecard/2026071327/2/9,1-3-4,3-4,3-4,3-4,3-4,1-3|1-4|3-4,"{""3-4-1"": 29340}","{""1-3-4"": 600}","{""3-4"": 10190}","{""3-4"": 8590}","{""1-3"": 150, ""1-4"": 240, ""3-4"": 640}",{},{},1784039400.0,1784039100.0
094220260712,3-6-1,65.9,3,1783866703,https://www.winticket.jp/keirin/nagoya/racecard/2026071042/3/9,1-3-6,3-6,3-6,3-6,3-6,1-3|1-6|3-6,"{""3-6-1"": 6590}","{""1-3-6"": 1810}","{""3-6"": 1710}","{""3-6"": 900}","{""1-3"": 240, ""1-6"": 370, ""3-6"": 290}",{},{},1783866000.0,1783865700.0
095320260718,,,1,0,https://www.winticket.jp/keirin/nara/racecard/2026071653/3/9,,,,,,,{},{},{},{},{},{},{},1784385000.0,1784384700.0
096220260715,3-2-6,7.1,3,1784125655,https://www.winticket.jp/keirin/hiroshima/racecard/2026071362/3/9,2-3-6,3-2,2-3,3-2,2-3,2-3|2-6|3-6,"{""3-2-6"": 710}","{""2-3-6"": 290}","{""3-2"": 370}","{""2-3"": 240}","{""2-3"": 120, ""2-6"": 230, ""3-6"": 190}",{},{},1784125200.0,1784124900.0
097520260712,1-7-5,6.7,3,1783852346,https://www.winticket.jp/keirin/matsuyama/racecard/2026071175/2/9,1-5-7,1-7,1-7,1-6,1-6,1-5|1-7|5-7,"{""1-7-5"": 670}","{""1-5-7"": 290}","{""1-7"": 310}","{""1-7"": 140}","{""1-5"": 290, ""1-7"": 140, ""5-7"": 270}",{},{},1783851720.0,1783851420.0
098520260714,3-6-4,24.8,3,1784024839,https://www.winticket.jp/keirin/sasebo/racecard/2026071385/2/9,3-4-6,3-6,3-6,3-6,3-6,3-4|3-6|4-6,"{""3-6-4"": 2480}","{""3-4-6"": 900}","{""3-6"": 810}","{""3-6"": 450}","{""3-4"": 510, ""3-6"": 220, ""4-6"": 660}",{},{},1784023920.0,1784023620.0
114720260718,2-1-6,90.3,3,1784357860,https://www.winticket.jp/keirin/matsusaka/racecard/2026071647/3/11,1-2-6,2-1,1-2,2-1,1-2,1-2|1-6|2-6,"{""2-1-6"": 9030}","{""1-2-6"": 2330}","{""2-1"": 1770}","{""1-2"": 1160}","{""1-2"": 530, ""1-6"": 850, ""2-6"": 500}",{},{},1784357100.0,1784356800.0
